"anxious","undefined","-1","anxious"
"ask","undefined","748","ask"
"explanation","undefined","4473","explanation"
"negotiate","undefined","-1","negotiate"
"compromise","undefined","9483","compromise"
"star","undefined","-1","staring"
"metre","undefined","9436","metres"
"empty","undefined","2963","empty"
"space","undefined","641","space"
"relish","undefined","-1","relishing"
"emptiness","undefined","-1","emptiness"
"remain","undefined","3020","remains"
"uninterrupted","undefined","-1","uninterrupted"
"matter","undefined","1210","matter"
"stare","undefined","-1","stares"
"these","undefined","92","these"
"forty","undefined","7702","forty"
"seven","undefined","1854","seven"
"half","undefined","927","half"
"square","undefined","1833","square"
"under","undefined","189","under"
"sovereign","undefined","-1","sovereign"
"control","undefined","332","control"
"unless","undefined","1576","unless"
"initiate","undefined","-1","initiates"
"except","undefined","1584","except"
"predictable","undefined","-1","predictable"
"vessel","undefined","6813","vessel"
"thought","undefined","2121","thoughts"
"dimension","undefined","3408","dimensions"
"contour","undefined","-1","contours"
"coincide","undefined","-1","coincide"
"settle","undefined","-1","settling"
"permeable","undefined","-1","permeable"
"embody","undefined","-1","embodied"
"tiled","undefined","-1","tiled"
"amniotic","undefined","-1","amniotic"
"naked","undefined","1894","naked"
"foot","undefined","1439","feet"
"brush","undefined","-1","brushing"
"untreated","undefined","-1","untreated"
"parquet","undefined","-1","parquet"
"toe","undefined","-1","toes"
"trace","undefined","-1","tracing"
"herringbone","undefined","-1","herringbone"
"pattern","undefined","2356","pattern"
"sure","undefined","715","sure"
"neighbour","undefined","-1","neighbours"
"across","undefined","1056","across"
"courtyard","undefined","-1","courtyard"
"anyone","undefined","1083","anyone"
"inchoate","undefined","-1","inchoate"
"speculation","undefined","-1","speculation"
"within","undefined","250","within"
"crust","undefined","-1","crusted"
"debilitate","undefined","-1","debilitating"
"certitude","undefined","-1","certitude"
"defies","undefined","-1","defies"
"exoneration","undefined","-1","exoneration"
"online","undefined","79","online"
"name","undefined","107","name"
"little","undefined","397","little"
"isn","undefined","-1","isn"
"rare","undefined","2681","rare"
"common","undefined","735","common, commonest"
"surname","undefined","8483","surname"
"enough","undefined","962","enough"
"always","undefined","609","always"
"popular","undefined","674","popular"
"shakespearean","undefined","-1","shakespearean"
"parent","undefined","1333","parents"
"attractive","undefined","5460","attractive"
"father","undefined","1691","father"
"teach","undefined","4331","taught"
"chemistry","undefined","3183","chemistry"
"biology","undefined","3278","biology"
"secondary","undefined","2765","secondary"
"mother","undefined","1429","mother"
"ilaria","undefined","-1","ilaria"
"relatively","undefined","3726","relatively"
"too","undefined","435","too"
"villa","undefined","4051","villa"
"birthday","undefined","2633","birthday"
"party","undefined","537","party"
"strange","undefined","3928","strange"
"narcissistic","undefined","-1","narcissistic"
"uxorious","undefined","-1","uxorious"
"must","undefined","217","must"
"confusing","undefined","-1","confusing"
"postman","undefined","-1","postman"
"letter","undefined","1193","letter"
"address","undefined","4309","addressed"
"photograph","undefined","5731","photograph"
"should","undefined","133","should"
"true","undefined","830","true"
"product","undefined","127","products"
"dentist","undefined","9211","dentists"
"unanimous","undefined","-1","unanimous"
"toothpaste","undefined","-1","toothpaste"
"give","undefined","621","given"
"meet","undefined","1936","met"
"sensation","undefined","-1","sensation"
"unmistakable","undefined","-1","unmistakable"
"responsibility","undefined","1486","responsibility"
"negative","undefined","2604","negative"
"rummage","undefined","-1","rummages"
"palimpsest","undefined","-1","palimpsest"
"fear","undefined","8690","fears"
"confirm","undefined","4492","confirmed"
"incomplete","undefined","8059","incomplete"
"erasure","undefined","-1","erasure"
"impression","undefined","7352","impression"
"show","undefined","1723","showing"
"perfectly","undefined","5871","perfectly"
"transparent","undefined","7378","transparent"
"feverish","undefined","-1","feverish"
"heat","undefined","2026","heat"
"haze","undefined","-1","haze"
"manage","undefined","2590","managed"
